"genes" "logFC" "logCPM" "PValue" "FDR" "EnsID"
"595139" -9.90362697853763 0.417519675375739 3.52914240240567e-25 3.55253930944384e-22 NA
"14069" 9.8453699865033 0.282647486041577 4.12804454234177e-25 4.00700437915382e-22 "ENSMUSG00000031196"
"20963" 9.831171654698 0.268627381316534 6.09378003869487e-25 5.71113267833407e-22 "ENSMUSG00000021457"
"64176" -9.82570814248658 0.343492354405079 3.31047468562298e-24 2.99917971601823e-21 "ENSMUSG00000053025"
"74480" 9.77293832348994 0.211161144963467 4.37274914092296e-24 3.83377254519823e-21 "ENSMUSG00000021838"
"107065" 9.75800515925431 0.196434342919682 6.51625362176753e-24 5.53453928706311e-21 "ENSMUSG00000071862"
"244071" -9.77921768009811 0.29939885916613 1.51463396375115e-23 1.24746171214523e-20 "ENSMUSG00000025754"
"71310" 9.71225521642788 0.151342198160775 2.17756226279653e-23 1.7407048453102e-20 "ENSMUSG00000031709"
"76670" -9.70654625906612 0.230589763384957 1.04749667168498e-22 7.90830889992392e-20 "ENSMUSG00000039543"
"75974" -9.70654625906612 0.230589763384957 1.04749667168498e-22 7.90830889992392e-20 "ENSMUSG00000031093"
"269784" 9.66500682934843 0.104815201645865 1.11357955683064e-22 8.17999426354052e-20 "ENSMUSG00000064293"
"320080" -9.69407032945158 0.218791330698974 1.54910014648107e-22 1.10797349687392e-19 "ENSMUSG00000044617"
"269437" 9.64890713152514 0.0889714508374901 1.68173239194831e-22 1.17199499181444e-19 "ENSMUSG00000036834"
"72668" -9.68148557049371 0.20689432016815 2.29440719629601e-22 1.52096812653974e-19 "ENSMUSG00000054074"
"12704" -9.68148557049371 0.20689432016815 2.29440719629601e-22 1.52096812653974e-19 "ENSMUSG00000029516"
"320719" 9.63262574025791 0.0729542802589178 2.54415925961409e-22 1.5715387390239e-19 "ENSMUSG00000097207"
"209032" 9.63262574025791 0.0729542802589178 2.54415925961409e-22 1.5715387390239e-19 "ENSMUSG00000047749"
"232174" 9.63262574025791 0.0729542802589178 2.54415925961409e-22 1.5715387390239e-19 "ENSMUSG00000063415"
"212073" 9.61615850768182 0.0567598857531314 3.85558155838442e-22 2.328685581674e-19 "ENSMUSG00000054150"
"94176" 9.59950114225344 0.0403843372715771 5.85329221039684e-22 3.38482189332715e-19 "ENSMUSG00000020143"
"78134" 9.59950114225344 0.0403843372715771 5.85329221039684e-22 3.38482189332715e-19 "ENSMUSG00000049929"
"14367" -9.64305890676787 0.170594868178315 7.52452660974973e-22 4.09018217452776e-19 "ENSMUSG00000045005"
"20442" -9.64305890676787 0.170594868178315 7.52452660974973e-22 4.09018217452776e-19 "ENSMUSG00000013846"
"69291" -9.64305890676787 0.170594868178315 7.52452660974973e-22 4.09018217452776e-19 NA
"108013" 9.58264920203739 0.0238235732731617 8.90188190331196e-22 4.74400486764933e-19 "ENSMUSG00000024268"
"12560" -9.63001915717354 0.158286371104052 1.1214445653402e-21 5.86148881565027e-19 "ENSMUSG00000061048"
"414072" 9.56559808759614 0.00707339480861849 1.35625530568783e-21 6.82623388023878e-19 NA
"20450" 9.56559808759614 0.00707339480861849 1.35625530568783e-21 6.82623388023878e-19 "ENSMUSG00000025789"
"54418" 9.53087910510824 -0.0270127262262958 3.16535107685039e-21 1.50931713890731e-18 "ENSMUSG00000028354"
