"genes" "logFC" "logCPM" "PValue" "FDR" "EnsID"
"19886" -7.85277081721569 -1.46177409834204 2.21220691621053e-08 3.16450377766769e-05 "ENSMUSG00000019893"
"504186" 2.19228847949627 0.177735083512437 2.33451275164995e-08 3.1724861038547e-05 "ENSMUSG00000066279"
"245446" -7.80716843650439 -1.50128080183493 3.94049356950006e-08 4.86812157842919e-05 "ENSMUSG00000046699"
"80903" -7.80716843650439 -1.50128080183493 3.94049356950006e-08 4.86812157842919e-05 "ENSMUSG00000031230"
"17085" -2.38281349816657 -0.0704128187409673 5.22052042993357e-08 5.92118402429907e-05 "ENSMUSG00000004707"
"271970" -1.62863020193231 1.3159019901454 5.22861093429404e-08 5.92118402429907e-05 "ENSMUSG00000046561"
"332396" -7.76007742026443 -1.54193648209736 7.04324441162608e-08 7.08993851346612e-05 "ENSMUSG00000040901"
"269389" -7.71139728979093 -1.58381031065333 7.04324441162608e-08 7.08993851346612e-05 "ENSMUSG00000074607"
"50530" -7.71139728979093 -1.58381031065333 7.04324441162608e-08 7.08993851346612e-05 "ENSMUSG00000030116"
"20698" -1.55640370604124 1.47150848854239 7.77437941347311e-08 7.54642350281377e-05 "ENSMUSG00000061878"
"14608" -2.17476414492485 0.154593631608672 1.25230218909931e-07 0.000114451864574525 "ENSMUSG00000031932"
"12766" -7.66101703694761 -1.62697788833025 1.26331209287897e-07 0.000114451864574525 "ENSMUSG00000050232"
"14089" -1.43096950027626 1.9040404835091 1.40172738883682e-07 0.000122895318390954 "ENSMUSG00000000392"
"23972" -1.60168314367576 1.2089185740693 1.87335252489923e-07 0.000159112025856988 "ENSMUSG00000024899"
"327956" -1.07467455292564 7.18611618184706 2.44711862922992e-07 0.000201546173405576 "ENSMUSG00000020830"
"269959" 1.657136034008 0.810380697326322 2.98231979869668e-07 0.00023840138179052 "ENSMUSG00000070469"
"72049" 7.63846825332515 -1.8098552873912 4.10780190200644e-07 0.00028627166126829 "ENSMUSG00000068105"
"21923" 7.63846825332515 -1.8098552873912 4.10780190200644e-07 0.00028627166126829 "ENSMUSG00000028364"
"330305" 7.63846825332515 -1.8098552873912 4.10780190200644e-07 0.00028627166126829 "ENSMUSG00000052730"
"71872" -7.55465005034033 -1.71753389756664 4.10780190200644e-07 0.00028627166126829 "ENSMUSG00000038242"
"319415" -7.55465005034033 -1.71753389756664 4.10780190200644e-07 0.00028627166126829 "ENSMUSG00000044499"
"57394" -2.19831740074457 -0.00839494439923132 4.41813105047733e-07 0.000300200959552309 "ENSMUSG00000015401"
"27412" 3.28096271592783 -1.18370805471392 5.49458059979415e-07 0.000364237088101964 "ENSMUSG00000070526"
"74075" -1.7553917124078 0.64945237954873 5.93277026868161e-07 0.000382185654238074 "ENSMUSG00000025480"
"216049" 2.40570086143539 -0.549041872360972 6.09386906068059e-07 0.000382185654238074 "ENSMUSG00000037855"
"12395" -1.91679310711284 0.259389852993618 6.18719187110463e-07 0.000382185654238074 "ENSMUSG00000006586"
"23985" -1.03677066060673 6.754777473952 6.68929424699184e-07 0.000404018507419981 "ENSMUSG00000020651"
"208890" -1.16434387156585 3.12139923941042 7.26475365058872e-07 0.000413091859640007 "ENSMUSG00000040569"
"268481" 7.57169880033361 -1.86829529006845 7.44747824510112e-07 0.000413091859640007 "ENSMUSG00000035849"
