"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"AT1G02290" 106.802264766799 2.6747194166553 0.204623352674791 13.0714279758002 4.79567478243053e-39 1.11911241200001e-37
"AT1G02640" 103.601514150857 1.71446611014025 0.203103933140468 8.44132402376729 3.13763029081857e-17 3.63921041132274e-16
"AT1G02660" 32.880677349708 1.68004767182977 0.328227160383825 5.11855164534569 3.07890930721818e-07 1.51608036506117e-06
"AT1G02700" 276.841343813137 5.62798552227115 0.242994595670555 23.1609493484432 1.12765363954867e-118 7.03767325217165e-117
"AT1G02810" 23.9482859439659 -2.6529284272256 0.530404591570362 -5.00170712959159 5.68248702615455e-07 2.71527518282911e-06
"AT1G02820" 277.07930523119 -3.33881719421805 0.327714590943959 -10.1881859596206 2.23903105863385e-24 3.49852676839957e-23
"AT1G02980" 51.8578270628487 5.98839796531798 1.45613303934206 4.11253491509524 3.91338262072891e-05 0.000139400052238973
"AT1G03055" 71.4584787131485 -1.71453176836582 0.23593401664038 -7.26699690354178 3.67567227868323e-13 3.27439867846682e-12
"AT1G03070" 4902.86052597805 8.38843554439569 0.661655649029843 12.6779474439541 7.83569561818605e-37 1.7486959379089e-35
"AT1G03140" 573.209992679235 1.67131338222832 0.0932873167176566 17.915762196127 8.88438554751248e-72 3.55193432624852e-70
"AT1G03180" 66.7219818353591 2.49700582677509 0.242076058441403 10.314963994589 6.03039076287681e-25 9.58300956981511e-24
"AT1G03410" 103.106729767861 -1.88573520895535 0.198360743970534 -9.50659475866589 1.97005905095562e-21 2.74644141330949e-20
"AT1G03420" 78.8286844255232 -2.11618143324209 0.231745360792094 -9.13149426598701 6.75602465894252e-20 8.82269424591466e-19
"AT1G03780" 31.8094013077963 -1.83729565638434 0.371359157912939 -4.94748982820312 7.51766310906982e-07 3.53475053194525e-06
"AT1G03820" 148.505412320139 -1.64276186270333 0.167858888244848 -9.78656465487311 1.28590769468067e-22 1.88187813886157e-21
"AT1G03860" 841.232609750894 2.78693264364676 0.0984078413952292 28.3202294058436 1.94773835244805e-176 1.96319223890644e-174
"AT1G03970" 307.463716191923 2.10533580201844 0.123825038841714 17.0025046768586 7.86849341362272e-65 2.86319805249265e-63
"AT1G04020" 27.0032880854796 -3.0888713727718 0.517135232811176 -5.97304375488114 2.32867410637356e-09 1.47302016469458e-08
"AT1G04107" 14.5389234319659 -3.32193741072819 0.823656283115346 -4.03315980078911 5.50318289884332e-05 0.000190975348969149
"AT1G04110" 8.18206438968123 -6.09399390444363 1.46728444926686 -4.15324643254315 3.27791402216719e-05 0.000118553800778146
"AT1G04130" 411.555801369229 3.81851343469397 0.132092142075005 28.9079529993974 9.48472506805217e-184 9.7429455734934e-182
"AT1G04183" 94.7431968145179 -1.94153385424825 0.207165010557664 -9.37191975141876 7.12250631107257e-21 9.70876749158204e-20
"AT1G04233" 86.9442869472079 2.18015453839337 0.20290461890394 10.7447260203845 6.27479421745045e-27 1.06240975594987e-25
"AT1G04280" 126.79019824257 -1.61458326517227 0.175268668502488 -9.21204730410418 3.19963028076915e-20 4.22985606513749e-19
"AT1G04425" 39.3735010810115 -1.63973563487684 0.318107387480072 -5.15466065678704 2.5409063812103e-07 1.26567793731331e-06
"AT1G04503" 224.933087371458 -1.57069478762329 0.314783315253632 -4.9897650590462 6.04527718648878e-07 2.87837782028671e-06
"AT1G04570" 28.6393466320842 5.18541171256014 1.24455391136599 4.1664821951094 3.09336040709916e-05 0.000112371158341814
"AT1G04737" 37.5372145219568 1.71385930950196 0.323969192495105 5.29019224421427 1.22187860154696e-07 6.31348055273444e-07
"AT1G04810" 230.633105649447 1.59464873880699 0.127844553953836 12.4733411748053 1.04356837414439e-35 2.24943468117528e-34
"AT1G04960" 248.059659546021 1.54165004743467 0.121832502226695 12.6538486796085 1.06525764692588e-36 2.36994988827479e-35
"AT1G04980" 456.77388006568 3.30618296360097 0.126075332694308 26.2238686422299 1.42019686878093e-151 1.15932344394896e-149
"AT1G05017" 116.762499290048 3.98178152846881 0.24952300173 15.9575730528336 2.52355177138281e-57 8.0622221696157e-56
"AT1G05100" 25.4329001916977 1.7689112505734 0.409341297264969 4.32136034744712 1.55070185277027e-05 5.91122480062586e-05
"AT1G05170" 428.631344594594 2.03881881645112 0.10863311393475 18.767931274397 1.38161758003911e-78 5.89700752005163e-77
"AT1G05240" 27.1313828414578 -1.85881924077587 0.413303907366392 -4.49746350722989 6.87689597755769e-06 2.78829234640578e-05
