"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"AT1G04280" 124.76881708665 -1.54714479154857 0.19780809359981 -7.82144331605883 5.22210855163461e-15 6.87214020663286e-14
"AT1G04330" 19.6879978264356 -2.54398441776426 0.540202039116827 -4.70932027935957 2.48544256706332e-06 1.40856839629631e-05
"AT1G04425" 38.7429442372191 -1.57194101497148 0.338289498056082 -4.64673312060926 3.37232993167433e-06 1.87238800423284e-05
"AT1G04433" 32.776432285636 -2.59617025853236 0.427952580874161 -6.06649048179421 1.30735470448598e-09 1.12261980059122e-08
"AT1G04503" 221.36107105352 -1.50483709719943 0.195244464293341 -7.70745077278359 1.28355791572242e-14 1.64815989333088e-13
"AT1G04570" 30.1099829776435 4.07141046443901 0.503818484049524 8.08110578181725 6.41821055643274e-16 8.91278848754625e-15
"AT1G04737" 37.8534031163088 1.78272944390066 0.344007916485101 5.18223377565169 2.19244176219489e-07 1.44030921996357e-06
"AT1G04810" 232.288226312373 1.65919857941451 0.147171648399924 11.2739009004357 1.76569871224622e-29 4.19269202807701e-28
"AT1G04960" 249.758770413372 1.60782546247577 0.140001516507146 11.4843431884805 1.58132658302481e-30 3.91166123445055e-29
"AT1G04980" 463.266897335275 3.37137465671004 0.139594071066758 24.1512739828165 7.24001929616847e-129 6.64826126144473e-127
"AT1G05017" 118.565551018832 4.04166502194016 0.271258557637565 14.899677477974 3.31174219409627e-50 1.23928878947497e-48
"AT1G05100" 25.6482912815749 1.83516294811895 0.406036329466 4.51970135414354 6.19269254431029e-06 3.29495732232545e-05
"AT1G05170" 432.722908092834 2.1042816209188 0.123661404950331 17.016478356881 6.19886046306841e-65 2.96081847645792e-63
"AT1G05240" 26.6625172479423 -1.79223876358177 0.417283176044927 -4.29501802725161 1.74679141702264e-05 8.64708661480177e-05
"AT1G05340" 107.828558706156 2.44861522346043 0.223895565784058 10.9364167838056 7.71907176163452e-28 1.75744831462283e-26
"AT1G05347" 1500.37740864662 3.65241401565297 0.230900240943136 15.8181472688565 2.33256165600819e-56 9.78849861884718e-55
"AT1G05353" 270.512748855343 7.65233904076537 0.454580629490633 16.8338432047577 1.37856265154344e-63 6.47274180823747e-62
"AT1G05700" 29.160415786242 2.18752470254346 0.388263331863947 5.63412643692555 1.75947903680295e-08 1.32560205361312e-07
"AT1G05820" 50.3619842250142 2.31430940327295 0.303068188450365 7.63626633038055 2.23611525409724e-14 2.8260908125043e-13
"AT1G05835" 36.3796362824404 -2.47894446013195 0.395122170919512 -6.27386829335101 3.52186456752419e-10 3.19976632942093e-09
"AT1G06000" 131.043738001541 -2.19827046970575 0.213644591652378 -10.2893803803026 7.86810466037988e-25 1.63028962925523e-23
"AT1G06002" 131.043738001541 -2.19827046970575 0.213644591652378 -10.2893803803026 7.86810466037988e-25 1.63028962925523e-23
"AT1G06030" 110.14957470454 8.23628448484659 0.851556202668991 9.67203862649583 3.96401732083795e-22 7.37300835066185e-21
"AT1G06083" 67.0403139011671 1.66833857300438 0.268865517208684 6.20510428531255 5.46606438297073e-10 4.85276532894137e-09
"AT1G06337" 34.038929038216 3.86379631727934 0.445869570959336 8.66575467118324 4.48531871696612e-18 7.0599086825871e-17
"AT1G06547" 6.94940907272489 -5.8289648538302 1.3331259929972 -4.37240357209241 1.22886098338284e-05 6.25234217368267e-05
"AT1G07090" 21.7395720945578 -2.46836757528866 0.509147357221191 -4.84804161365079 1.2468624941009e-06 7.35787838883116e-06
"AT1G07119" 16.505421660478 -2.23741884200869 0.551043919379577 -4.06032761331948 4.90039070438987e-05 0.000223303832043109
"AT1G07128" 24.6720731479831 -2.27945191870837 0.463994325697604 -4.91267197132479 8.98435203206159e-07 5.41607558909527e-06
"AT1G07130" 24.3332742739297 -2.25499291228895 0.46640358822142 -4.83485326707739 1.33243882768222e-06 7.82575884514326e-06
"AT1G07330" 43.7508145886698 4.861476815969 0.496865618689587 9.78428901720039 1.31516333146334e-22 2.4869178954001e-21
"AT1G07350" 6451.36296665921 5.23144202634093 0.0876168686288728 59.7081601774683 0 0
"AT1G07400" 49861.2211612938 9.08947073316948 0.674524824330396 13.4753687415325 2.18391559302127e-41 6.96753070927362e-40
"AT1G07410" 169.939670488628 3.91826567958398 0.226847464814307 17.272688865143 7.55393639157572e-67 3.67866354411667e-65
"AT1G07477" 30.0541299943031 -1.89288405850062 0.406264750078273 -4.65923774616412 3.17382466331719e-06 1.76809103977274e-05
"AT1G07500" 670.462146943917 6.47862053056424 0.505472382231105 12.8169624262522 1.31762027659722e-37 3.89417821652279e-36
