"genes" "logFC" "logCPM" "PValue" "FDR"
"AT1G23020" 1.86362507686641 4.52526326604823 4.63706889141376e-16 1.5134283135686e-13
"AT1G07600" -1.71099379564299 8.56418324047722 4.98666428151381e-16 1.61373527333802e-13
"AT1G56430" 8.94918203388808 0.152682207519876 6.4166095317643e-16 2.05903068554581e-13
"AT2G43100" -2.9459301379707 1.48145422580434 6.69043557347999e-16 2.12900810674089e-13
"AT5G03985" -1.76660586480633 5.60192987120147 7.08479683053675e-16 2.23586819645352e-13
"AT5G17340" -3.29692155390714 1.14631151537817 7.4728760663804e-16 2.33901020877707e-13
"AT2G13360" -1.90102518017286 4.05730745015314 8.12709453380136e-16 2.51340676178677e-13
"AT4G35770" -1.83599089566315 4.60067820224907 8.16169377419892e-16 2.51340676178677e-13
"AT5G03860" 1.74355048737448 5.67914544863925 1.49715646692593e-15 4.57363334768269e-13
"AT1G07590" -1.67618819940239 8.93539772459194 1.67694187030312e-15 5.06918223834122e-13
"AT1G49500" -1.86859139196343 4.13597239583462 1.68592191973324e-15 5.06918223834122e-13
"AT5G65280" -1.90256023964984 3.84825654579774 2.22845714662387e-15 6.6481144219515e-13
"AT5G37730" -3.07578121388128 1.26322696028349 2.59758753827847e-15 7.68926184005438e-13
"AT5G16570" -2.70725721558091 1.66263612820736 3.40000296861197e-15 9.98711641226283e-13
"AT5G64910" -3.64160121475213 0.892027803907093 3.51097095018359e-15 1.02343463132603e-12
"AT5G59080" -2.05750147299917 3.03831189155644 4.21017448932335e-15 1.21795244734319e-12
"AT3G20380" -8.8676830156824 0.0534857332062428 4.49613007922704e-15 1.29089641507792e-12
"AT4G29700" -2.09014497227709 2.90713142279396 4.68099223984177e-15 1.33394305724327e-12
"AT2G27550" 4.02555189193584 0.671150418007799 4.88551184037155e-15 1.37235879200934e-12
"AT5G55250" 1.93381998775431 3.56529112331688 4.88767599940475e-15 1.37235879200934e-12
"AT5G57520" -5.08449376953426 0.352162879312291 5.40883357371394e-15 1.50760378719592e-12
"AT1G67260" 3.34100422893053 1.00508873301326 7.57233994009452e-15 2.09534328226412e-12
"AT1G17180" -1.73543910017935 4.93584367798445 8.08438920404639e-15 2.22093874924975e-12
"AT4G24540" 2.06300121669449 2.9170089925529 8.20310514222837e-15 2.23745552115095e-12
"AT2G29420" -1.63874711468598 7.52037017203645 9.2314545373852e-15 2.50008739691199e-12
"AT1G71880" -1.63267282445806 7.39091951614088 1.20543727385684e-14 3.24160758728855e-12
"AT2G37130" -1.68370588065818 5.56394113363859 1.29189558785305e-14 3.44981293131165e-12
"AT2G08340" -1.62835214655632 7.47098768920568 1.35907832971923e-14 3.60401146518463e-12
"AT2G01990" -2.09833855115208 2.73705731833123 1.38026608534692e-14 3.63495453345225e-12
"AT2G32960" -2.37397170458677 2.08287557337405 1.51499568140912e-14 3.96244007467729e-12
"AT1G14130" -1.64755746347853 6.08223632524157 1.7150876587441e-14 4.45526104331989e-12
"AT3G23800" -3.84178739892095 0.677942225241796 1.86256528725102e-14 4.80567013911943e-12
"AT1G06350" -2.50451600307681 1.79533410554507 2.79871445453113e-14 7.17259799736414e-12
"AT5G20150" -1.61214010528477 6.86225100697135 3.20937257315269e-14 8.17020673856057e-12
"AT2G01530" -1.94190073776802 3.14137300882701 3.5974186710844e-14 9.09741916384297e-12
"AT1G64795" 2.97435649979124 1.24632860727235 4.53676287435934e-14 1.13974228368609e-11
"AT1G22065" 2.80036225257836 1.4263674468214 4.65630689046866e-14 1.16212898640154e-11
"AT3G04360" -2.00685875864985 2.87347989713644 4.88432424175155e-14 1.2111221136073e-11
"AT2G35340" -2.03825940915551 2.76225190452129 5.14555489097292e-14 1.26766554236576e-11
"AT3G20520" -3.99206654564171 0.566060959199166 5.33329700241407e-14 1.30549538034733e-11
"AT4G16000" -8.73552965228969 -0.0706177794816298 5.41923861337888e-14 1.30974079550941e-11
"AT1G07373" 8.72727599494988 -0.0542566680351318 5.41923861337888e-14 1.30974079550941e-11
"AT1G66180" -1.58821527434394 7.48919241999116 5.48155129380922e-14 1.31646866481383e-11
"AT1G78460" -2.35095406962176 1.99294619870877 5.69597720331899e-14 1.35941615928712e-11
"AT1G02610" -1.89093875712605 3.23786778140579 7.90581430076809e-14 1.87510201794491e-11
"AT1G23050" -2.29627042740857 2.05315214672013 9.65460397656597e-14 2.26178348128312e-11
"AT1G23052" -2.29627042740857 2.05315214672013 9.65460397656597e-14 2.26178348128312e-11
"AT4G08780" -1.57342469894085 7.12975244607284 1.05817399520178e-13 2.45999856675607e-11
"AT4G20270" -1.66453640506361 4.84434956616239 1.06833874917733e-13 2.45999856675607e-11
"AT2G01660" -1.87064402660007 3.29135401883736 1.06939653821167e-13 2.45999856675607e-11
"AT1G67865" -2.13422742244969 2.35565431042282 1.11378750215262e-13 2.54677182977246e-11
"AT4G19370" -2.21039460951309 2.23079174250198 1.19332865453603e-13 2.71240761917339e-11
"AT1G69870" -3.38219887588353 0.823409397396519 1.27161256614977e-13 2.87324245272161e-11
"AT5G24780" 2.49107575417604 1.70909039001375 1.35248984962373e-13 3.03801043516068e-11
"AT4G23690" -1.62434808697739 5.30287386252666 1.41031604622212e-13 3.1493759380724e-11
"AT1G34060" -2.59031111949683 1.50628586623204 1.44530414725178e-13 3.20874326552072e-11
"AT4G25400" -2.04518696629919 2.57714490294405 1.48793431368242e-13 3.2842924683397e-11
"AT1G16400" -3.93557334331846 0.515109728235873 1.79450310777338e-13 3.93821239502496e-11
"AT1G79310" -1.84668509012696 3.30615006502277 1.91479251147424e-13 4.17818667675173e-11
"AT1G08430" -1.55427127553369 7.08481488705777 2.07110165627122e-13 4.49358453672573e-11
"AT4G20210" -1.90699791077223 2.99177094440793 2.19054652011259e-13 4.7258875376847e-11
"AT1G63820" -1.70211934519254 4.12774992364265 2.40676305698492e-13 5.16318281427113e-11
"AT5G23830" -1.61641637268301 5.11402209466397 2.47608448975151e-13 5.28046798068702e-11
