"genes" "logFC" "logCPM" "PValue" "FDR"
"AT3G14660" -2.53159915207916 6.66552334893703 2.4669571792381e-30 2.94385083894956e-27
"AT1G64110" 2.73865683198074 4.6253605850623 2.6480271743738e-30 3.06416865698903e-27
"AT5G61420" -3.61644459457195 2.62063920325434 4.09194205880504e-30 4.59573233698616e-27
"AT2G41240" 5.34921707778815 1.59675584370265 5.43989373626388e-29 5.93507949179921e-26
"AT1G67870" -2.71576678230305 4.33009679800258 5.94806679049438e-29 6.3092466239394e-26
"AT2G45135" -3.6882105163544 2.34357718224473 2.60826735937281e-28 2.69187290229757e-25
"AT5G23660" -3.41140932256189 2.62398473010532 4.5921635796757e-28 4.61464101193411e-25
"AT4G13770" -4.42544410023153 1.76831180655781 9.94128553718101e-28 9.73379306468703e-25
"AT1G68230" -2.87583504051613 3.45633722119061 2.10663636334169e-27 2.01110040426414e-24
"AT3G13630" -3.41011808602905 2.38103106499058 4.32905377561019e-26 4.03193286525489e-23
"AT1G05562" -2.33158094954402 5.66289930756827 2.00757172589262e-25 1.82526509345085e-22
"AT5G47560" -2.33052748849383 5.66482742387242 2.09518372818883e-25 1.86062060103764e-22
"AT1G05560" -2.31730408527341 5.65941346030187 3.68920630083167e-25 3.20172799553541e-22
"AT5G07860" -2.30859847075394 5.24518309914465 2.18301954840934e-24 1.85246187723465e-21
"AT5G15800" -2.40350085379876 4.3597140894623 5.46017412585336e-24 4.5326567210834e-21
"AT2G11810" -2.46216092981465 3.8407187761596 2.56345425868912e-23 2.08272477281495e-20
"AT2G43535" -2.15318731089521 6.69177919948649 2.67609418105972e-23 2.12894442495722e-20
"AT5G17860" -2.70605873176918 3.07609768150979 3.74242234547147e-23 2.91649264661579e-20
"AT3G59140" -3.33154166161541 2.08268938673527 4.96777522499747e-23 3.77647145094234e-20
"AT5G38200" -2.12029858481226 7.67012686473459 5.04373445760382e-23 3.77647145094234e-20
"AT5G63450" -2.34092167204202 4.32179553034681 6.97129123450501e-23 5.11934090540016e-20
"AT4G00780" -3.75525001169763 1.66188392942908 1.43376643518312e-22 1.03301519045099e-19
"AT4G33420" -2.30926432297249 4.34470826827455 1.89916704464636e-22 1.34299245864566e-19
"AT3G48360" -2.07094310701805 7.38504645955409 4.89972721860971e-22 3.40183606490601e-19
"AT4G36850" -3.11433091979035 2.11634484099662 2.1277148250187e-21 1.45087354121722e-18
"AT1G77885" -2.29374419399928 4.00762852380744 2.83413144714733e-21 1.89866918317137e-18
"AT2G36970" -2.61173132315556 2.88602820920655 4.52160894927222e-21 2.97693378167085e-18
"AT2G30760" 4.17799008041544 1.26573494119878 8.08710569592223e-21 5.23413928990655e-18
"AT2G26700" -2.12550518825737 4.87958525530118 1.19894500899508e-20 7.63048568558103e-18
"AT1G27020" -2.17796386617043 4.39365457528517 1.45973840591157e-20 9.13796242100641e-18
"AT4G39780" -2.39749648382971 3.26252704605937 3.36784345037683e-20 2.07426564509822e-17
"AT1G21529" -2.90211365652491 2.17110737805541 7.71098902418013e-20 4.67383852186258e-17
"AT2G18196" -2.16992532047087 4.1224733645899 8.54661835100555e-20 5.09939325549215e-17
"AT1G12030" 2.12825228856034 4.41595114835213 8.79356457591832e-20 5.16601625993872e-17
"AT5G42530" 4.43494970467189 1.04220942238449 9.08170094473301e-20 5.25445200417538e-17
"AT3G26520" -1.95945340884895 6.26439372520134 1.29627461919335e-19 7.38799143410704e-17
"AT5G56870" -1.93705194625571 7.05366655388632 1.50448714389795e-19 8.44858030542456e-17
"AT1G13600" -4.01220015655622 1.21974889788449 1.67819805978507e-19 9.28748856680472e-17
